season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,51907,김주원,NC,NC,13,유격수,51,40,346 1/3,10,0,73,97,17,0.944,0,0,0,
2021,62907,박민우,NC,NC,14,2루수,49,48,384,3,0,103,109,22,0.986,0,0,0,
2021,76849,이명기,NC,NC,14,좌익수,49,48,380,1,0,80,3,0,0.988,0,0,0,
2021,66965,도태훈,NC,NC,16,3루수,47,14,144,2,0,13,25,3,0.95,0,0,0,
2021,74465,박석민,NC,NC,16,3루수,47,44,330 2/3,8,0,29,81,5,0.932,0,0,0,
2021,78352,임창민,NC,NC,18,투수,46,0,40 1/3,0,0,3,5,0,1.0,0,0,0,
2021,76232,양의지,NC,NC,19,포수,45,38,302 1/3,3,1,252,20,4,0.989,3,15,8,34.8
2021,65949,류진욱,NC,NC,20,투수,44,0,43 1/3,0,0,4,7,0,1.0,0,0,0,
2021,61869,정진기,NC,NC,21,좌익수,43,29,240 1/3,0,0,52,2,0,1.0,0,0,0,
2021,75867,김진성,NC,NC,22,투수,42,0,37 2/3,0,0,1,5,0,1.0,0,0,0,
2021,64944,박대온,NC,NC,23,포수,41,27,234 2/3,2,1,204,13,1,0.991,1,20,4,16.7
2021,77211,이용찬,NC,NC,24,투수,39,0,37,1,0,1,4,0,0.833,0,0,0,
2021,68900,김영규,NC,NC,25,투수,37,8,63 2/3,0,0,5,16,1,1.0,0,0,0,
2021,63450,정현,NC,NC,25,2루수,37,20,199,3,0,46,56,12,0.971,0,0,0,
2021,65643,문경찬,NC,NC,28,투수,35,0,31,0,0,1,3,0,1.0,0,0,0,
2021,69974,배민서,NC,NC,29,투수,32,2,40,1,1,3,4,0,0.875,0,0,0,
2021,69940,루친스키,NC,NC,31,투수,30,30,178 2/3,1,1,9,24,0,0.971,0,0,0,
2021,68902,신민혁,NC,NC,31,투수,30,25,145,2,0,7,13,1,0.909,0,0,0,
