season_year,player_name,team_name,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,멩덴,KIA,0.9,73.2,3.97,3.83,2.91,3.37,20.7,7.0,0.242,0.305,0.371,0.676
2021,소형준,KT,0.45,65.4,3.92,3.94,2.88,2.8,16.3,9.8,0.268,0.343,0.344,0.687
2021,신민혁,NC,1.06,71.6,4.4,4.35,2.74,3.44,17.1,7.0,0.271,0.327,0.42,0.747
2021,박세웅,롯데,1.1,73.3,4.55,4.52,2.68,4.78,18.2,7.7,0.229,0.3,0.365,0.665
2021,안우진,키움,1.09,75.6,4.17,3.94,2.67,3.31,24.4,9.1,0.22,0.304,0.36,0.664
2021,브룩스,KIA,0.46,72.8,3.24,3.13,2.51,2.32,16.5,4.8,0.298,0.332,0.381,0.714
2021,정찬헌,키움,0.47,70.4,3.85,3.95,2.46,3.71,11.9,5.4,0.29,0.336,0.389,0.725
2021,최원태,키움,0.69,65.1,4.31,4.39,2.45,2.69,14.5,8.2,0.287,0.355,0.393,0.748
2021,김민우,한화,0.87,74.1,4.58,4.59,2.41,4.51,18.7,11.5,0.23,0.325,0.353,0.678
2021,오승환,삼성,0.44,81.7,2.85,2.56,2.37,3.47,22.6,6.3,0.245,0.298,0.376,0.674
2021,이민호,LG,1.02,69.3,4.58,4.53,2.14,3.22,21.0,9.4,0.22,0.318,0.359,0.677
2021,이의리,KIA,0.57,71.7,4.03,3.92,2.09,2.76,23.0,13.9,0.204,0.318,0.29,0.607
2021,가빌리오,SSG,0.77,61.3,4.02,3.92,1.92,0.78,19.9,8.5,0.285,0.355,0.411,0.766
2021,한현희,키움,0.42,68.7,3.78,3.79,1.92,1.92,16.4,8.1,0.257,0.329,0.353,0.682
2021,고우석,LG,0.47,84.3,2.75,2.32,1.84,2.34,28.3,9.6,0.224,0.309,0.324,0.633
2021,송명기,NC,0.88,66.4,4.55,4.55,1.79,1.42,17.8,10.1,0.292,0.373,0.449,0.823
2021,이정용,LG,0.52,73.6,2.95,2.59,1.78,2.21,26.1,8.1,0.214,0.28,0.327,0.607
2021,홍건희,두산,0.36,78.6,2.74,2.36,1.78,3.37,27.1,8.9,0.239,0.306,0.312,0.618
2021,김원중,롯데,0.86,75.8,3.83,3.59,1.68,2.79,23.9,10.4,0.217,0.309,0.33,0.64
2021,최채흥,삼성,1.18,72.7,4.62,4.63,1.59,2.43,15.2,6.9,0.291,0.341,0.435,0.776
2021,임찬규,LG,0.69,68.1,4.28,4.31,1.51,2.42,17.3,10.6,0.226,0.315,0.333,0.648
2021,김태훈,키움,0.14,73.4,3.41,3.36,1.38,2.28,18.4,11.7,0.249,0.336,0.303,0.639
2021,박종훈,SSG,0.33,73.1,3.57,3.55,1.38,2.04,18.6,7.2,0.205,0.288,0.272,0.559
